# id, cityname, citycode, airportname, airportcode
1511,Agen,AGF,La Garenne,AGF
1512,Aggeneys,AGZ,Aggeneys,AGZ
1513,Aghajari,AKW,Aghajari,AKW
1514,Agnew,AGW,Agnew,AGW
1515,Agra,AGR,Agra,AGR
1516,Agri,AJI,Agri,AJI
1517,Agrinion,AGQ,G.Karaiskakis,AGQ
1518,Aguaclara,ACL,Aguaclara,ACL
1519,Aguascalientes,AGU,Jesus Teran Peredo Int,AGU
1520,Aguni,AGJ,Aguni,AGJ
1521,Ahe,AHE,Ahe,AHE
1522,Ahmedabad,AMD,S.VallabhBhai Patel,AMD
1523,Ahuas,AHS,Ahuas,AHS
1524,Ahwaz,AWZ,Ahwaz,AWZ
1525,Ai-Ais,AIW,Ai-Ais,AIW
1526,Aiambak,AIH,Aiambak,AIH
1527,Aiken,AIK,Municipal,AIK
1528,Ailigandi,AIL,Ailigandi,AIL
1529,Ailuk Island,AIM,Ailuk Island,AIM
1530,Ainsworth,ANW,Regional,ANW
1531,Aiome,AIE,Aiome,AIE
1532,Aioun el Atrouss,AEO,Aioun El Atrouss,AEO
1533,Airok,AIC,Ailinglapalap,AIC
1534,Aishalton,AHL,Aishalton,AHL
1535,Aitape,ATP,Aitape Airstrip,ATP
